OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
1,Irontown,C,564,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,66,66,66,0,0,0,0,4.1,4.1,4.1,0,0,0,0,115.8,115.8,0,0,5567.248025,656517.8179
2,Mountain View SSD,C,533,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,407,407,407,0,0,0,0,61.5,61.5,61.5,0,0,0,0,96.9,96.9,0,0,2818.216577,467752.9844
3,Sunset Park Water Co.,C,88,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292,Utah,Box Elder,Bear River,1/1/2006,Tremonton,133,133,127,0,0,6,0,7,7,6.7,0,0,0.3,0,34.8,34.8,0,0,2449.835459,333398.84
4,Hildale - Colorado City,C,1527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,165,165,138,15,3,8,0,833,833,696.5,78.1,15.8,42.7,0,927.7,883.7,44,0,47400.81289,44923218.17
5,Glen Canyon SSD Of Big Water,C,606,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1199,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,285,285,176,18,47,44,0,158.1,158.1,97.6,9.9,26.3,24.3,0,686,686,0,0,15346.18318,4219266.839
6,Kanab City,C,608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,337,245,152,35,58,0,92,1789.5,1300.8,805.2,186.2,308.9,0.6,488.7,3095.1,2982.1,113,0,43668.36805,41350892.21
7,Church Wells SSD,C,605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,116,116,81,13,0,22,0,32,32,22.4,3.6,0,6,0,221.9,221.9,0,0,6538.014469,2656826.63
8,Mexican Hat SSD (San Juan SSD #1),C,2065,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,562,562,17,545,0,0,0,15.1,15.1,0.5,14.6,0,0,0,40.4,40.4,0,0,6688.689509,850762.7278
9,Santa Clara City,C,1536,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1207,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,194,174,155,5,15,0,20,1858,1668.2,1480.1,47.4,139.8,1,189.8,2142.7,2045.9,96.9,0,21224.09924,15752975.58
10,Rockville Pipeline Co.,C,1534,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1074,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,247,123,123,0,1,0,124,77.4,38.7,38.5,0,0.2,0,38.8,113.4,82.7,30.7,0,34804.15261,21762977.86
11,Springdale Town Water System,C,1537,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1342,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,1409,360,66,264,30,0,1049,978.7,250.1,45.7,183.5,21,0,728.6,590.7,0,92.7,498,19077.71615,11899440.01
12,Washington City,C,1541,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1254,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,261,200,162,31,7,0,62,8606.3,6575.9,5320.6,1016.9,230.4,8,2030.4,1525.4,1525.4,0,0,71945.25564,83980324.74
13,Ivins,C,1529,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1296,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,238,223,171,22,30,1,14,2101.1,1975.8,1509.3,195.5,261.8,9.2,125.3,393,393,0,0,26144.46132,16145204.54
14,Virgin,C,1540,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1171,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,720,178,122,31,25,0,542,524.1,129.4,88.8,22.5,18.1,0,394.7,0,0,0,0,29636.07988,30583435.48
15,Kayenta Water Users Inc.,C,1565,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1407,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,135,135,129,6,0,0,0,109.7,109.7,104.8,4.9,0,0,0,0,0,0,0,16349.83149,8398972.362
16,Hurricane City,C,1528,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1169,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,348,200,152,20,23,5,148,7393.4,4255.2,3234.6,424.2,495.9,100.4,3138.2,4481.7,2205.7,2276,0,100834.972,132041803.9
17,St. George City Water System,C,1535,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1133,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,300,237,177,38,18,4,63,31589.3,24945,18603,4036,1911,395,6644.3,11089.5,8618.5,2471,0,111997.1744,200190696.6
18,Winchester Hills Water Co.,C,1561,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1447,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,247,247,234,0,13,0,0,249.2,249.2,236.2,0,13,0,0,274.2,274.2,0,0,7566.958505,2343572.094
19,Angell Springs SSD,C,1579,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10875,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,189,113,113,0,0,0,76,48.6,29.1,29.1,0,0,0,19.5,129.4,90.8,38.6,0,6493.676275,1137650.595
20,Zion Canyon Water System,C,1562,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1047,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,362,57,11,32,13,0,305,1298.6,204.1,39.8,116,48.3,0,1094.5,507.6,0,507.6,0,18991.79785,3038628.417
21,Leeds Domestic Water Users Assoc.,C,1531,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1000,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,458,243,211,24,6,1,215,410.2,217.3,189.3,21.6,5.4,1.1,192.9,481.1,339,142.2,0,44637.58508,16296402.95
22,La Verkin City Water System,C,1530,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1028,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,420,107,86,11,9,0,313,2213.3,563,452,60.5,48.7,1.8,1650.2,714.3,0,714.3,0,34017.77046,35353694.62
23,Bluff Water Works Service District,C,912,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1308,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,267,267,115,150,2,0,0,86.7,86.7,37.2,48.7,0.7,0,0,164.6,164.6,0,0,11129.59563,2697091.884
24,Diamond Valley Acres,C,1570,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1421,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,208,208,182,0,25,0,0,293.4,293.4,257.5,0,35.8,0,0,581.1,581.1,0,0,14675.9345,4988359.986
25,Orderville Town Water System,C,610,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1025,Utah,Kane,Kanab Creek/Virgin River,10/1/2001,Long Valley,342,225,113,63,47,2,116,239.1,157.8,79.5,44.2,32.8,1.4,81.3,465.1,443.9,21.2,0,32958.66715,22569899.82
26,Toquerville Town Water System,C,1538,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1127,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,489,114,94,3,16,0,375,883.7,205.7,170.9,6.3,28.5,0,678,363.2,0,363.2,0,37696.63625,44701970.29
27,Gunlock SSD,C,1526,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1312,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,1202,872,814,0,52,6,330,138.6,100.6,93.9,0,6,0.7,38,103.9,72.6,31.2,0,6356.953378,1797491.802
28,Dammeron Valley Water Works LLC,C,1547,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1445,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,266,266,266,0,1,0,0,286.6,286.6,285.8,0,0.8,0,0,363.8,363.8,0,0,11967.06978,4499320.881
29,Glendale Town Water System,C,607,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1073,Utah,Kane,Kanab Creek/Virgin River,10/1/2001,Long Valley,433,300,286,9,5,1,132,187.5,130.3,124,3.8,2,0.5,57.3,134.4,108.6,25.8,0,34548.32812,18121416.14
30,Veyo Culinary Water Association,C,1539,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1206,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,482,303,231,16,29,28,179,410.4,258,196.2,13.8,24.4,23.6,152.4,276,78.4,197.6,0,21492.12955,9494861.405
31,Pine Valley Mt. Farms,C,1566,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1425,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,541,541,539,0,1,0,0,121.2,121.2,120.8,0,0.3,0,0,185.2,185.2,0,0,5063.628943,1207000.33
32,Pine Valley Irrigation Co.,C,1542,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1219,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,826,751,706,11,34,0,75,212.9,193.6,181.8,3,8.8,0,19.4,843.4,28.3,815.1,0,17030.74692,5555667.7
33,Central Culinary Water Co.,C,1523,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11277,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,1149,454,454,0,0,0,694,64.3,25.5,25.5,0,0,0,38.9,35.5,25.8,9.7,0,5250.205216,457956.0535
34,Alton Town Water System,C,604,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1307,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,1253,95,92,0,4,0,1157,182.4,13.9,13.4,0,0.5,0,168.5,24.2,0,24.2,0,17221.37694,6011934.01
35,Dixie Deer SSD,C,1524,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1262,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,158,158,151,0,7,0,0,79.5,79.5,76.1,0,3.3,0,0,219.3,219.3,0,0,11327.80588,2839909.734
36,Glen Canyon N.R.A. - Halls Crossing Marina,C,2265,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1323,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,121,121,66,0,55,0,0,19,19,10.3,0,8.7,0,0,211.5,211.5,0,0,10259.54493,6394362.895
37,Harmony Heights Water Co.,C,1586,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11333,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,229,150,150,0,0,0,79,43.7,28.6,28.6,0,0,0,15.1,84.5,84.5,0,0,7722.698945,2167789.567
38,Harmony Farms Water Users,C,1584,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1452,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,216,216,209,6,0,0,0,101.4,101.4,98.4,2.9,0.1,0,0,144.4,144.4,0,0,11649.9138,2536791.645
39,New Harmony Water System,C,1532,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1085,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,873,324,303,0,21,0,549,205.5,76.3,71.3,0,4.9,0,129.2,835,807.1,27.9,0,8401.278094,1565376.367
40,Glen Canyon N.R.A. - Bullfrog Recreation Site,C,613,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1241,Utah,Kane,West Colorado River,9/3/2002,Lake Powell,327,327,236,0,91,0,0,80.6,80.6,58.2,0,22.4,0,0,468.1,468.1,0,0,14209.62508,9902089.089
41,Kanarraville Town Water System,C,507,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1282,Utah,Iron,Kanab Creek/Virgin River,10/1/2003,Laverkin,714,557,464,18,75,0,157,288,224.6,187,7.4,30.2,0,63.4,265.6,201,64.6,0,7081.813827,1185647.339
42,Henrieville Town Water System,C,393,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1062,Utah,Garfield,Southeast Colorado River,9/5/2000,Paria River,77,77,77,0,0,0,0,20.6,20.6,20.5,0,0.1,0,0,74.3,58.1,16.1,0,8867.037986,3458916.184
43,Cannonville Town Water System,C,390,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1204,Utah,Garfield,Southeast Colorado River,9/5/2000,Paria River,186,186,109,75,3,0,0,35,35,20.5,14.1,0.5,0,0,403.5,242.1,161.4,0,28816.07977,6682329.306
44,Enterprise Town Water System,C,1525,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1031,Utah,Washington,Cedar/Beaver,6/3/2001,Escalante Desert,442,442,376,8,58,0,0,964.6,964.6,820.2,17.2,127.2,0,0,982.2,717.5,264.7,0,34607.74069,24052092.67
45,Tropic Town Water System,C,395,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1160,Utah,Garfield,Southeast Colorado River,9/5/2000,Paria River,1303,242,136,95,11,0,1060,723.9,134.7,75.8,52.8,6.1,0,589.1,599.8,0,599.8,0,24160.3184,20520430.28
46,Rainbow Ranchos,C,543,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1281,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,193,193,193,0,0,0,0,49,49,49,0,0,0,0,149.7,149.7,0,0,3107.750573,481175.5124
47,Blanding City,C,911,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1075,Utah,San Juan,Southeast Colorado River,9/3/2003,Blanding,187,187,146,17,23,0,0,771.3,771.3,605,71.2,95.1,0,0,2736,201.8,0,2534.2,53038.64367,34023296.96
48,Cedar Highlands Subdivision (CICWCD),C,537,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11404,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,51,51,51,0,0,0,0,9.4,9.4,9.3,0,0.1,0,0,95.2,56.5,38.7,0,5205.207824,1092436.483
49,Spring Creek Water Users,C,547,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1454,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,184,184,184,0,0,0,0,51.7,51.7,51.7,0,0,0,0,111,111,0,0,5052.836963,881997.6016
50,Hatch Town Water System,C,392,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1237,Utah,Garfield,Sevier River,5/6/2001,Navajo Lake,572,167,114,27,21,5,405,99.3,29,19.8,4.6,3.7,0.9,70.3,144.8,144.8,0,0,11465.33356,4820060.671
51,Ticaboo Utility Improvement District,C,404,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1178,Utah,Garfield,West Colorado River,9/3/2002,Lake Powell,627,627,152,417,32,27,0,26,26,6.3,17.3,1.3,1.1,0,159,159,0,0,5291.052641,1752186.41
52,Meadows Ranches,C,540,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1428,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,222,222,222,0,0,0,0,104.3,104.3,104.3,0,0,0,0,236,236,0,0,15301.15722,8296760.906
53,Newcastle Water Co.,C,513,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1325,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,715,493,242,156,66,29,222,192.3,132.6,65.1,42,17.7,7.8,59.7,158.7,158.7,0,0,10448.20737,1460123.384
54,Buena Vista Community,C,548,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1451,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,256,256,256,0,0,0,0,128.9,128.9,128.9,0,0,0,0,135,135,0,0,3563.722335,650832.4061
55,Monte Vista Community Water Co.,C,532,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1012,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,350,350,350,0,0,0,0,50.9,50.9,50.9,0,0,0,0,83.2,83.2,0,0,2487.482315,342986.645
56,Brian Head Town Water System,C,504,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1137,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,4501,4501,1039,3461,0,0,0,418.4,418.4,96.6,321.8,0,0,0,927.2,791.6,135.6,0,19375.15617,7822411.12
57,Escalante Valley Housing,C,512,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11282,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,182,182,182,0,0,0,0,18.3,18.3,18.3,0,0,0,0,32.2,32.2,0,0,919.6185251,48565.9366
58,Flying L Subdivision,C,553,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11356,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,280,280,280,0,0,0,0,84.7,84.7,84.7,0,0,0,0,60,60,0,0,3925.561612,494839.375
59,Cedar City Waterworks,C,505,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1231,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,224,202,138,42,19,4,22,7773.2,7013,4779.2,1458,647.3,128.5,760.2,11387.6,9725,1662.5,0,59591.28386,43926909.98
60,Escalante Town Water System,C,391,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1134,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,625,248,137,36,75,0,377,557.8,221.2,122.5,31.9,66.9,0,336.6,577.9,201.8,376.1,0,20723.89114,8046472.392
61,Old Meadows Water Co.,C,538,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10921,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,155,155,155,0,0,0,0,13.9,13.9,13.9,0,0,0,0,66.3,66.3,0,0,2468.000199,349037.0431
62,Enoch City Water System,C,506,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1007,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,226,209,178,1,30,0,18,1685.7,1553.6,1326.4,7.3,219.9,0,132.1,2413.1,2413.1,0,0,20647.11325,8596035.475
63,Mid Valley Estates,C,515,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1242,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,202,202,202,0,0,0,0,169.9,169.9,169.9,0,0,0,0,121.1,121.1,0,0,4242.393627,811340.2779
64,Summit Culinary Water,C,511,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1250,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,560,311,303,0,8,0,249,112.9,62.7,61,0,1.7,0,50.2,169.5,0,169.5,0,3796.822881,450019.4
65,Eastland SSD,C,923,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1198,Utah,San Juan,Southeast Colorado River,9/3/2004,Monticello,137,137,127,10,1,0,0,9.5,9.5,8.8,0.7,0,0,0,32.3,32.3,0,0,18856.32023,2760576.088
66,Panguitch City Water System,C,394,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1052,Utah,Garfield,Sevier River,5/6/2002,Panguitch,664,304,186,53,61,3,361,1265.2,578.2,354.3,101.5,115.9,6.6,687,1654.5,201.8,1452.7,0,16354.85263,7463009.92
67,Parowan City Water System,C,510,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1287,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,202,163,128,16,19,0,38,741.7,600.5,470.1,60.1,70.4,0,141.2,1016.7,887.8,129,0,29247.06463,12586680.39
68,Monticello City,C,914,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1295,Utah,San Juan,Southeast Colorado River,9/3/2004,Monticello,227,72,43,18,10,2,155,567,180.3,106.5,44.3,25.4,4.2,386.7,1520,0,0,1520,67876.52365,134459834
69,Paragonah Town Water System,C,514,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1293,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,363,125,125,0,1,0,237,209.2,72.2,71.8,0,0.4,0,137,177.6,0,177.6,0,7413.795689,1334323.232
70,Boulder Farmstead Water Co.,C,389,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1304,Utah,Garfield,West Colorado River,8/4/2001,Boulder,1186,378,291,36,51,1,808,318.8,101.6,78.1,9.6,13.6,0.3,217.2,201.1,144.6,56.5,0,38603.86471,54214819.77
71,Antimony Town Water System,C,388,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1382,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,966,966,364,95,79,428,0,151.5,151.5,57.1,14.8,12.4,67.2,0,279.4,0,279.4,0,34853.33094,31107243.23
72,Circleville Town Water System,C,744,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1184,Utah,Piute,Sevier River,5/6/2003,Piute,560,500,361,36,19,84,59,357.4,319.5,230.4,23.1,12.4,53.6,38,225.1,181.6,43.5,0,30962.31749,32351242.31
73,Kingston Town Water System,C,746,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1182,Utah,Piute,Sevier River,5/6/2003,Piute,494,237,237,0,0,0,257,99.6,47.7,47.7,0,0,0,51.9,113,80.7,32.3,0,20202.13874,13879120.16
74,Minersville Water System,C,4,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1187,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,496,279,200,2,14,64,216,527.7,297.4,212.9,1.7,15,67.8,230.3,831,427.4,403.5,0,36049.54412,13548747.33
75,Junction Town,C,743,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1016,Utah,Piute,Sevier River,5/6/2003,Piute,1291,354,206,19,37,93,937,289.1,79.3,46.1,4.2,8.2,20.8,209.8,194.6,73.6,121.1,0,27500.64645,35217152.17
76,Capitol Reef National Park,C,1613,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1354,Utah,Wayne,West Colorado River,8/3/2007,Torrey,116,116,116,0,0,0,0,5.9,5.9,5.9,0,0,0,0,15,15,0,0,3835.227515,416073.075
77,Lyman Water System,C,1608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1110,Utah,Wayne,West Colorado River,8/3/2006,Rabbit Valley,828,188,111,2,3,72,640,208.6,47.4,28.1,0.5,0.7,18.1,161.2,96.9,0,96.9,0,13640.31775,5158454.064
78,Greenwich Water Assoc.,C,750,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1022,Utah,Piute,Sevier River,5/5/2002,Otter Creek,859,817,817,0,0,0,42,67.4,64.1,64.1,0,0,0,3.3,29.8,0,29.8,0,13305.03891,1253647.96
79,Milford City Water,C,3,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1138,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,462,253,204,31,6,12,210,750.9,410.5,331.4,51.1,9.2,18.8,340.4,1856.2,1856.2,0,0,17558.6195,6878172.954
80,Marysvale Town Water System,C,745,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1216,Utah,Piute,Sevier River,5/4/2001,Marysvale,509,509,496,8,6,0,0,245.3,245.3,238.9,3.7,2.7,0,0,840.1,33.1,807.1,0,32416.40857,46545597.92
81,Fremont Waterworks Co.,C,1605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1034,Utah,Wayne,West Colorado River,8/3/2006,Rabbit Valley,594,215,181,0,20,15,379,179.8,65.1,54.6,0,6,4.5,114.7,398.7,0,398.7,0,27441.48053,13863811.99
82,Koosharem,C,1033,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1251,Utah,Sevier,Sevier River,5/5/2002,Otter Creek,206,206,149,15,42,0,0,85.4,85.4,61.9,6.2,17.3,0,0,234.1,121.1,113,0,9572.285314,3441661.615
83,Moab City,C,473,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1164,Utah,Grand,Southeast Colorado River,9/1/2004,Moab,333,285,134,118,34,0,47,2122.1,1819.4,851,754.5,214,0,302.7,3845.1,1766.7,2078.5,0,33263.06169,10174979.64
