FID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
286,Manila Town Water System,C,231,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1173,Utah,Daggett,Uintah,07-01-05,Flaming Gorge Reservoir,1471,1267,988,239,40,0,203,94,0,109,0,708.3,610.37,475.95,114.93,19.48,0,97.93,45.38,0,52.55,0,717.47,717.47,0,0,12818.4701609066,4623954.23083847
287,Questar - Clay Basin Camp,C,253,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1906,Utah,Daggett,Uintah,07-01-06,Crouse Creek,235,235,213,0,21,0,0,0,0,0,0,7.89,7.89,7.17,0,0.72,0,0,0,0,0,0,26.51,11.3,15.21,0,21105.7779192806,11785519.3622591
288,Richville,C,720,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1380,Utah,Morgan,Weber River,02-01-07,Morgan,508,123,101,0,0,22,385,345,0,40,0,96.67,23.39,19.29,0,0,4.1,73.28,65.75,0,7.53,0,64.57,0,64.57,0,6722.88861176481,1496971.78156549
289,Henefer Town Water System,C,1074,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1214,Utah,Summit,Weber River,02-01-04,Echo,184,144,143,0,1,0,39,39,0,0,0,181.02,142.13,140.7,0.2,1.23,0,38.89,38.89,0,0,0,220,0,220,0,11377.0405228352,4187160.02180419
290,South Robinson Spring Water Users,C,726,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1011,Utah,Morgan,Weber River,02-01-07,Morgan,486,486,486,0,0,0,0,0,0,0,0,16.34,16.34,16.34,0,0,0,0,0,0,0,0,27,0,27,0,1330.28213289155,94711.4189206298
291,Morgan City Water System,C,716,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1170,Utah,Morgan,Weber River,02-01-07,Morgan,249,91,57,18,6,10,158,117,1,39,0,1351.55,493.75,310.42,95.78,34.65,52.9,857.8,637.51,7.72,212.57,0,1191,851.95,339.05,0,21277.6055721492,13447096.84878
292,Fruit Heights City Water System,C,276,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1032,Utah,Davis,Weber River,02-01-09,East Shore,442,67,63,3,0,0,374,264,2,108,0,2843.98,432.62,408.37,21.77,2.48,0,2411.36,1699.89,12.94,698.53,0,541,541,0,0,18697.0076090176,10672212.7736866
293,Croydon Pipeline Corp.,C,709,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10931,Utah,Morgan,Weber River,02-01-05,Lost Creek,364,65,65,0,0,0,299,299,0,0,0,36.65,6.53,6.53,0,0,0,30.12,30.12,0,0,0,62.95,8.07,54.88,0,2964.85782588853,371648.323168141
294,Central Enterprise Water Co.,C,712,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1150,Utah,Morgan,Weber River,02-01-07,Morgan,246,178,165,0,12,0,68,68,0,0,0,129.56,93.58,87.01,0,6.57,0,35.99,35.99,0,0,0,83,83,0,0,4934.80167806903,1069610.80177728
295,Syracuse City Water System,C,272,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1082,Utah,Davis,Weber River,02-01-09,East Shore,283,55,50,4,0,0,228,171,1,56,0,9014.02,1756.47,1598.7,142.28,13.6,1.89,7257.55,5433.48,27.59,1796.49,0,1947,1947,0,0,40666.3283097612,70843407.0506317
296,Peterson Pipeline Assoc.,C,718,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1243,Utah,Morgan,Weber River,02-01-07,Morgan,314,132,132,0,0,0,182,175,0,7,0,158.46,66.65,66.49,0.05,0.05,0.05,91.81,88.17,0,3.64,0,144,144,0,0,13715.6245027741,8894410.43809952
297,Clearfield City Water System,C,262,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1180,Utah,Davis,Weber River,02-01-09,East Shore,149,137,95,38,4,0,12,12,0,0,0,5344.05,4913.51,3392.98,1368.03,152.49,0,430.54,430.54,0,0,0,1424,1424,0,0,32398.226256976,32842467.0733048
298,Layton City Water System,C,277,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1092,Utah,Davis,Weber River,02-01-09,East Shore,214,141,105,32,4,0,73,55,1,18,0,18688.13,12302.33,9196.93,2753.92,351.47,0,6385.8,4765.98,91.29,1528.54,0,7557,7557,0,0,83374.1259542713,103476464.061768
299,Monte Verde,C,715,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1071,Utah,Morgan,Weber River,02-01-07,Morgan,303,303,303,0,0,0,0,0,0,0,0,26.77,26.77,26.77,0,0,0,0,0,0,0,0,82,82,0,0,4160.3772152898,1056177.6135711
300,Uintah Town Water System,C,1654,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1079,Utah,Weber,Weber River,02-01-09,East Shore,593,260,194,52,14,0,332,326,0,6,0,877.55,385.44,287.75,76.42,21.27,0,492.11,482.54,0,9.57,0,0,0,0,0,16709.2254335579,6669485.45501297
301,South Weber Water System,C,270,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1340,Utah,Davis,Weber River,02-01-09,East Shore,252,54,48,0,1,4,198,191,0,7,0,2064.38,441.85,394.59,3.93,7.44,35.89,1622.53,1565.95,0,56.58,0,180.78,180.78,0,0,32610.7041295207,21525543.7558845
302,Sunset City Water System,C,271,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1041,Utah,Davis,Weber River,02-01-09,East Shore,90,90,74,7,8,0,1,1,0,0,0,548.71,545.58,452.53,43.87,49.18,0,3.13,3.13,0,0,0,0,0,0,0,11565.8294260619,6738096.64828164
303,Clinton City Water System,C,263,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1181,Utah,Davis,Weber River,02-01-09,East Shore,231,49,44,4,0,0,182,157,0,25,0,6088.76,1282.98,1169.47,111.86,1.66,0,4805.77,4136.26,0,669.51,0,415,415,0,0,25124.9508053414,26880606.2098288
304,Mountain Green Water Assoc.,C,723,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1201,Utah,Morgan,Weber River,02-01-07,Morgan,212,212,212,0,0,0,0,0,0,0,0,11.85,11.85,11.85,0,0,0,0,0,0,0,0,20,20,0,0,14180.0448238819,8615977.33803589
305,Uintah Highlands Improvement District,C,1655,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1336,Utah,Weber,Weber River,02-01-09,East Shore,544,96,68,27,1,0,448,403,3,42,0,1510.03,266.52,188.59,74.15,3.78,0,1243.51,1119.18,7.77,116.56,0,89,0,89,0,18010.5919942825,7803400.45577
306,Hill Air Force Base,C,283,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1122,Utah,Davis,Weber River,02-01-09,East Shore,3073,2685,967,0,1718,0,389,60,0,328,0,2995.06,2616.36,941.89,0,1674.47,0,378.7,58.6,0,320.1,0,1475,1475,0,0,29862.6900773745,40625528.5676079
307,Highland Subdivision (Morgan),C,713,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1118,Utah,Morgan,Weber River,02-01-07,Morgan,185,183,163,13,7,0,2,2,0,0,0,257.56,254.46,226.72,17.48,10.26,0,3.1,3.1,0,0,0,287,0,287,0,27712.5837526592,27284540.7538375
308,Washington Terrace City Water System,C,1656,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1299,Utah,Weber,Weber River,02-01-09,East Shore,170,59,46,7,6,0,111,108,1,2,0,1768.45,611.55,476.1,70.03,65.42,0,1156.9,1127.3,8.47,21.13,0,0,0,0,0,17807.652461439,9124443.20514754
309,South Ogden City Water System,C,1652,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1098,Utah,Weber,Weber River,02-01-09,East Shore,232,63,52,10,1,0,169,138,0,32,0,4439.27,1199.09,990.79,193.62,14.69,0,3240.18,2633.8,0,606.38,0,1127,339,0,788,28489.9208641682,17899524.5698773
310,Riverdale City Water System,C,1650,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1001,Utah,Weber,Weber River,02-01-09,East Shore,279,217,155,49,13,0,62,14,47,0,0,2766.75,2155.74,1534,487.63,132.27,1.84,611.01,142.81,468.2,0,0,1333,1333,0,0,26622.3544195131,20948405.8671161
311,Lakeview Water Co.,C,1658,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1334,Utah,Weber,Weber River,02-01-08,Ogden Valley,302,230,228,0,3,0,72,72,0,0,0,77.78,59.34,58.66,0,0.68,0,18.44,18.44,0,0,0,303,303,0,0,8678.5013775138,2791792.44007681
312,Huntsville Town Water System,C,1642,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1200,Utah,Weber,Weber River,02-01-08,Ogden Valley,583,72,58,4,11,0,511,397,0,114,0,509.67,63.3,50.67,3.19,9.44,0,446.37,346.93,0,99.44,0,200,0,200,0,27944.1935285712,8056213.82862332
313,Pineview West Water Co.,C,1663,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1044,Utah,Weber,Weber River,02-01-08,Ogden Valley,297,117,107,10,0,0,180,180,0,0,0,29.93,11.83,10.81,1.02,0,0,18.1,18.1,0,0,0,90,90,0,0,10711.36722239,2070460.66401788
314,Casey Acres Water Co.,C,1709,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11334,Utah,Weber,Weber River,02-01-08,Ogden Valley,231,20,20,0,0,0,211,211,0,0,0,15.51,1.32,1.32,0,0,0,14.19,14.19,0,0,0,13,13,0,0,3516.3626637914,594311.300232659
315,Eden Waterworks System,C,1640,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1276,Utah,Weber,Weber River,02-01-08,Ogden Valley,384,123,107,14,2,0,261,261,0,0,0,451.76,144.9,126.21,16.81,1.88,0,306.86,306.86,0,0,0,402,184.66,217.34,0,40383.7061784853,35983543.4209743
316,Nordic Mountain Water Co.,C,1644,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1318,Utah,Weber,Weber River,02-01-08,Ogden Valley,59,59,58,1,0,0,0,0,0,0,0,50.28,50.28,49.63,0.65,0,0,0,0,0,0,0,217,217,0,0,35043.5210277795,20071194.6162532
317,Wolf Creek Water and Sewer Improvement District,C,1648,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1365,Utah,Weber,Weber River,02-01-08,Ogden Valley,122,38,35,3,0,0,84,54,9,22,0,411.95,127,117,10,0,0,284.95,182.1,29.61,73.24,0,872,823.58,48.42,0,23377.6396736683,14156285.7445425
318,North Ogden City,C,1645,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1143,Utah,Weber,Weber River,02-01-09,East Shore,226,53,47,4,1,0,173,163,1,9,0,5182.94,1214.38,1088.08,99.61,23.47,3.22,3968.55,3752.91,19.59,196.04,0,3680,1573.76,2106.24,0,32317.6628228923,34769734.1077351
319,Liberty Pipeline Co.,C,1643,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1078,Utah,Weber,Weber River,02-01-08,Ogden Valley,235,139,139,0,0,0,96,89,0,7,0,340.01,200.64,200.64,0,0,0,139.37,128.56,0,10.81,0,488,326.59,161.41,0,44490.5066249842,16158063.6957745
320,Pleasant View Culinary Water,C,1649,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1033,Utah,Weber,Weber River,02-01-09,East Shore,366,62,58,2,2,0,304,250,51,3,0,3015.36,513.16,476.96,14.56,19.25,2.39,2502.19,2061.18,419.8,21.21,0,1510,1191.24,318.76,0,24749.5369277992,24542903.554766
321,Hot Springs Trailer Court,C,75,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11343,Utah,Box Elder,Weber River,02-01-09,East Shore,98,98,98,0,0,0,0,0,0,0,0,10.97,10.97,10.97,0,0,0,0,0,0,0,0,24.21,24.21,0,0,925.574782943366,51742.6849307836
322,Coleman Mobile Home Park,C,74,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11335,Utah,Box Elder,Weber River,02-01-09,East Shore,293,293,293,0,0,0,0,0,0,0,0,19.7,19.7,19.7,0,0,0,0,0,0,0,0,16,16,0,0,1393.72081307936,62722.1892128883
323,Five C Mobile Home Park,C,73,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11341,Utah,Box Elder,Weber River,02-01-09,East Shore,230,230,230,0,0,0,0,0,0,0,0,12.9,12.9,12.9,0,0,0,0,0,0,0,0,18,18,0,0,1141.37090886375,64488.0146911359
324,Cole Canyon Water Co.,C,1708,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11278,Utah,Weber,Weber River,02-01-08,Ogden Valley,1112,731,670,0,61,0,381,381,0,0,0,112.11,73.65,67.52,0,6.14,0,38.46,38.46,0,0,0,116.22,0,116.22,0,5690.55866977969,1608049.40269074
325,Willard City,C,57,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1211,Utah,Box Elder,Weber River,02-01-09,East Shore,245,143,124,7,9,4,102,99,0,2,0,534.24,312.11,270.02,15.04,18.73,8.33,222.13,217.17,0,4.96,0,1775.52,1614.11,161.41,0,25825.2294343877,31706417.6838567
326,Perry City,C,52,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1172,Utah,Box Elder,Bear River,01-01-07,Brigham City,130,94,71,23,0,0,36,13,0,22,0,772.46,560.07,420.44,138.1,1.53,0,212.39,79.84,0,132.55,0,1452.71,1372,80.71,0,34161.7953324579,36871636.3523462
327,Woodruff Town Water System,C,762,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1333,Utah,Rich,Bear River,01-03-02,Randolph,202,202,187,2,13,0,0,0,0,0,0,45.24,45.24,41.87,0.43,2.93,0,0,0,0,0,0,174.42,174.42,0,0,8282.60726308293,2039183.99202825
328,Corinne City Corp.,C,39,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1175,Utah,Box Elder,Bear River,01-01-07,Brigham City,235,153,112,3,7,30,82,73,0,9,0,184.11,119.67,88.05,2.63,5.25,23.74,64.44,57.03,0,7.41,0,302.65,197.73,104.92,0,33145.2029861146,17087645.068181
329,Paradise Town Water System,C,112,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1148,Utah,Cache,Bear River,01-01-04,Cache Valley,614,66,62,0,2,2,548,503,0,45,0,694.74,75,70.33,0.25,1.76,2.66,619.74,568.63,0,51.11,0,524.59,427.74,96.85,0,12554.3933457197,6110654.09238954
330,Mountain Meadow ID,C,772,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11470,Utah,Rich,Bear River,01-03-02,Randolph,202,202,198,0,4,0,0,0,0,0,0,12.19,12.19,11.97,0,0.22,0,0,0,0,0,0,0,0,0,0,2491.44784046133,372713.540832077
331,BRWCD - Harper Ward,C,87,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1439,Utah,Box Elder,Bear River,01-01-07,Brigham City,375,196,194,1,0,0,179,179,0,0,0,134.27,70.09,69.67,0.42,0,0,64.18,64.18,0,0,0,0,0,0,0,27488.2346211413,6515277.75157415
332,Acme Water Co.,C,35,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1918,Utah,Box Elder,Bear River,01-01-06,Tremonton,838,278,255,0,22,0,560,507,0,53,0,807.47,267.82,245.89,0.36,21.57,0,539.65,488.66,0,50.99,0,1089.53,686,403.53,0,27041.306172323,10590124.6896591
333,Hyrum City,C,104,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1051,Utah,Cache,Bear River,01-01-04,Cache Valley,407,258,74,3,20,161,150,128,0,21,0,3820.16,2417.91,697.63,26.97,184.69,1508.62,1402.24,1201.54,0,200.7,0,7725,5039,2686,0,37531.5437384962,21248530.7892888
334,Wellsville City Corp.,C,118,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1179,Utah,Cache,Bear River,01-01-04,Cache Valley,217,211,190,8,8,6,5,5,0,0,0,912.35,890.35,798.24,34.09,32.68,25.34,22,20,0,2,0,3905.12,2129.59,1775.53,0,64918.8214566227,33430651.134042
335,Randolph Town Water System,C,759,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1108,Utah,Rich,Bear River,01-03-02,Randolph,733,710,390,227,93,0,23,23,0,0,0,410.68,397.64,218.2,127.27,52.17,0,13.05,13.05,0,0,0,988.18,807.06,181.12,0,17092.9457994186,7142002.99733177
336,Providence City Water System,C,113,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1213,Utah,Cache,Bear River,01-01-04,Cache Valley,274,254,214,13,27,0,20,20,0,0,0,2230.05,2067.25,1741.8,102.48,220.51,2.46,162.8,162.8,0,0,0,5831.46,3811.73,2019.73,0,23359.0156656996,17467311.5939481
337,Deweyville Town,C,40,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1109,Utah,Box Elder,Bear River,01-01-06,Tremonton,507,228,221,0,7,0,278,175,0,103,0,226.98,102.25,98.96,0,3.3,0,124.72,78.36,0,46.36,0,652.85,289.67,363.18,0,37877.1485236312,29283106.5704689
338,River Heights City,C,115,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1037,Utah,Cache,Bear River,01-01-04,Cache Valley,238,186,174,4,8,0,52,50,0,2,0,567.79,443.07,414.91,8.38,19.78,0,124.72,119.95,0,4.77,0,2231.51,2231.51,0,0,13983.9568571712,4798881.6718162
339,Mendon City,C,107,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1145,Utah,Cache,Bear River,01-01-04,Cache Valley,393,95,93,1,0,0,299,275,0,24,0,722.17,173.64,170.81,2.21,0.61,0,548.53,505.26,0,43.27,0,1195.01,309.1,161.41,724.5,29311.0635799397,6739359.56365627
340,Tremonton City Corp.,C,44,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1168,Utah,Box Elder,Bear River,01-01-06,Tremonton,342,300,156,33,20,91,42,4,0,38,0,3241.48,2844.06,1481.72,313.46,191.19,857.69,397.42,40.85,0,356.57,0,4801.99,807.06,3994.93,0,63078.4499428193,35215272.4178794
341,"Cedar Ridge Distribution, Inc.",C,72,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1426,Utah,Box Elder,Bear River,01-01-06,Tremonton,414,414,412,2,0,0,0,0,0,0,0,41.73,41.73,41.52,0.21,0,0,0,0,0,0,0,20.18,20.18,0,0,3696.18731850753,635092.563973872
342,Ukon Water Co.,C,47,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1161,Utah,Box Elder,Bear River,01-01-06,Tremonton,301,127,119,0,2,6,174,174,0,0,0,419.8,177.28,166.16,0,2.82,8.3,242.52,242.52,0,0,0,217.9,24.21,193.69,0,52107.591084121,11917280.0502077
343,Laketown,C,758,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1230,Utah,Rich,Bear River,01-01-01,Bear Lake,575,420,373,22,26,0,155,155,0,0,0,241.38,176.46,156.51,9.21,10.74,0,64.92,64.92,0,0,0,207.1,0,207.1,0,19574.868787187,12122051.9716927
