OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
136,Country Estates HOA,C,690,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11280,Utah,Millard,Sevier River,5/2/2004,Delta,314,314,314,0,0,0,0,21.1,21.1,21.1,0,0,0,0,38,38,0,0,2019,Sevier River,2210.828079,264716.1
137,Castle Valley SSD - Cleveland Water System,C,380,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1387,Utah,Emery,West Colorado River,8/1/2003,Price River,190,190,186,2,2,0,0,99.9,99.9,98,0.9,1.1,0,0,484.2,0,484.2,0,2019,Upper Colorado River,9244.281815,2282219.32
138,Hinckley Town Water System,C,659,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1106,Utah,Millard,Sevier River,5/2/2004,Delta,271,171,155,1,16,0,100,214.9,135.7,122.4,1,12.3,0.1,79.2,573.3,573.3,0,0,2019,Sevier River,21850.1173,13248393.79
139,Dansie Water Co.,C,791,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1367,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,592,592,592,0,0,0,0,19.9,19.9,19.9,0,0,0,0,262.5,262.5,0,0,2019,Salt Lake,7518.54624,1697401.158
140,Heber City Water System,C,1444,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1197,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,191,114,82,26,5,0,77,3387.9,2020.3,1457.2,469.4,90.2,3.4,1367.6,3348.1,2541,807.1,0,2019,Provo River,31487.76768,14272620.8
141,Riverton City Water System,C,805,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1306,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,242,74,55,14,6,0,168,12061.2,3701.2,2727.5,691.7,282,0,8360.1,5040,0,40,5000,2019,Salt Lake,31045.37997,31809322.92
142,Maeser WID,C,1258,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1273,Utah,Uintah,Uintah,7/2/2003,Vernal,146,135,107,1,15,12,10,690.9,641.9,505.9,4.3,72.6,59.1,49,848,163.8,684.2,0,2019,Green River,31661.30337,31756714.95
143,Herriman City Municipal Water Department,C,906,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1050,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,121,106,92,7,7,0,15,7889.9,6917.9,6007.8,434.3,475.8,0,972.1,3101,383,51,2667,2019,Salt Lake,57087.79484,53888081.13
144,WaterPro Inc. (Draper Irrigation Co.),C,788,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1359,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,319,167,130,27,10,0,152,10772.2,5641.1,4389.1,910.7,337.8,3.5,5131.2,6266,2570,0,3696,2019,Salt Lake,34671.8706,31651756.52
145,Copperton Improvement District,C,787,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1275,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,222,222,172,38,13,0,0,211.6,211.6,163.6,36,12.1,0,0,624.5,624.5,0,0,2019,Salt Lake,26469.8274,18744115.89
146,White City WID,C,800,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1210,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,195,195,162,13,19,0,0,2554,2554,2130,174.5,249.5,0,0,4051.5,4051.5,0,0,2019,Salt Lake,15015.82414,6097398.172
147,South Jordan City,C,803,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1240,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,243,174,127,32,16,0,68,20457.9,14700.9,10715.8,2676.1,1309,0,5757,0,0,0,0,2019,Salt Lake,40660.07514,57605677.31
148,Honeyville Town Water System,C,49,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1080,Utah,Box Elder,Bear River,1/1/2006,Tremonton,743,606,573,18,1,14,137,1289.6,1052.3,994.6,31.7,1.8,24.2,237.3,1186.4,887.8,298.6,0,2019,Bear River,33575.27468,29839993.05
149,Millville City Water,C,108,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1332,Utah,Cache,Bear River,1/1/2004,Cache Valley,294,240,215,1,15,9,54,712.2,581,519.6,1.4,37.2,22.8,131.2,1010.4,726.4,201.8,82.3,2019,Bear River,14089.76758,5022991.232
150,Elwood Town,C,41,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1311,Utah,Box Elder,Bear River,1/1/2006,Tremonton,134,134,107,8,19,1,0,181.3,181.3,144.1,10.9,25.1,1.2,0,1057.4,560.9,22,474.5,2019,Bear River,38587.29842,21310676.07
151,Thatcher-Penrose Service District,C,58,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1202,Utah,Box Elder,Bear River,1/1/2006,Tremonton,201,201,192,9,0,0,0,109.4,109.4,104.7,4.8,0,0,0,336.5,336.5,0,0,2019,Bear River,48132.94778,7817626.815
152,Marble Hills Subdivision,C,78,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1440,Utah,Box Elder,Bear River,1/1/2006,Tremonton,197,197,197,0,0,0,0,54.4,54.4,54.4,0,0,0,0,0,0,0,0,2019,Bear River,3324.900007,674672.375
153,West Corinne Water Co.,C,55,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1038,Utah,Box Elder,Bear River,1/1/2007,Brigham City,437,286,130,7,0,148,151,973.8,637.6,290.7,15.7,0.2,330.9,336.2,781,538.3,242.1,0.6,2019,Bear River,164343.0973,145064743.7
154,Bothwell Town Water System,C,37,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1153,Utah,Box Elder,Bear River,1/1/2006,Tremonton,203,203,200,0,4,0,0,79.1,79.1,77.6,0,1.5,0,0,210,210,0,0,2019,Bear River,22415.92239,11017092.87
155,Garland City Corporation,C,42,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1125,Utah,Box Elder,Bear River,1/1/2006,Tremonton,152,152,134,3,14,0,0,479.6,479.6,424.8,10.4,44.4,0,0,2080,0,2080,0,2019,Bear River,23614.96567,6065745.455
156,Willow Creek Water Co.,C,82,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11297,Utah,Cache,Bear River,1/1/2004,Cache Valley,150,90,86,4,0,0,60,30.3,18.1,17.4,0.8,0,0,12.2,54.1,54.1,0,0,2019,Bear River,3387.191186,601919.725
157,North Logan City,C,111,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1267,Utah,Cache,Bear River,1/1/2004,Cache Valley,277,166,101,48,17,0,111,3286.5,1966.4,1192.1,570.7,203.6,0,1320.1,8028.4,4172.5,1614.1,2241.8,2019,Bear River,25310.68026,17877897.3
158,Logan City Water System,C,106,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1112,Utah,Cache,Bear River,1/1/2004,Cache Valley,143,143,91,47,5,0,0,8524.9,8524.9,5420.9,2810.2,293.8,0,0,22176.5,14365.6,7810.9,0,2019,Bear River,79874.19166,47266794.15
159,BRWCD - Beaver Dam,C,36,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11305,Utah,Box Elder,Bear River,1/1/2006,Tremonton,105,105,101,0,4,0,0,10.6,10.6,10.2,0,0.4,0,0,163,0,66.2,96.8,2019,Bear River,11172.90731,880403.355
160,Hyde Park City Water System,C,103,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1324,Utah,Cache,Bear River,1/1/2004,Cache Valley,377,165,140,16,6,3,211,2052.6,900.2,764,89.5,33,13.7,1152.5,2429.2,1170.2,1259,0,2019,Bear River,26583.90182,10625748.18
161,Ephraim City,C,979,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1330,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,148,148,109,12,27,1,0,1197.3,1197.3,877.4,95.5,219,5.4,0,5216.8,186.3,5030.5,0,2019,Sevier River,29749.98386,13266178.28
162,Delta City,C,657,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1203,Utah,Millard,Sevier River,5/2/2004,Delta,320,304,182,22,92,8,17,1232.5,1168.8,699.9,83.6,354.8,30.6,63.6,2921.6,2921.6,0,0,2019,Sevier River,28552.2547,12546209.05
163,Oak Meadows Subdivision,C,699,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11359,Utah,Millard,Sevier River,5/2/2003,Fool Creek,486,486,486,0,0,0,0,40.8,40.8,40.8,0,0,0,0,40.4,40.4,0,0,2019,Sevier River,3767.458774,624542.9
164,Oak City Water System,C,665,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1158,Utah,Millard,Sevier River,5/2/2003,Fool Creek,587,510,456,0,18,36,77,427.1,371.1,332.1,0.1,13,25.9,56,1291.3,161.4,1129.9,0,2019,Sevier River,11378.21292,2901817.583
165,Castle Valley SSD - Elmo Town,C,381,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11482,Utah,Emery,West Colorado River,8/1/2003,Price River,51,51,45,3,2,0,0,22.9,22.9,20.3,1.6,1,0,0,484.2,0,484.2,0,2019,Upper Colorado River,8253.416174,1842376.457
166,Trail Canyon Residents Assn,C,384,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1412,Utah,Emery,West Colorado River,8/2/2001,Huntington Creek,193,193,193,0,0,0,0,7.8,7.8,7.8,0,0,0,0,15,0,15,0,2019,Upper Colorado River,2245.102872,219735.475
167,North Emery SSD,C,358,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1039,Utah,Emery,West Colorado River,8/1/2003,Price River,642,144,111,3,2,27,498,899.5,201.6,155.8,4.8,3.2,37.9,697.8,867,0,867,0,2019,Upper Colorado River,122289.2218,203746572.5
168,Chester Park Water System,C,2214,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11355,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,370,115,115,0,0,0,255,58.1,18.1,18.1,0,0,0,40,21.6,21.6,0,0,2019,Sevier River,728.4615263,32444.93435
169,Spring City,C,976,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1119,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,586,81,64,1,17,0,504,751.5,104.5,82.4,0.8,21.2,0.2,647,637.6,193.7,443.9,0,2019,Sevier River,17632.21653,4351654.439
170,Wales Town Water System,C,978,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1167,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,184,127,118,8,1,0,57,69.1,47.7,44.2,3.1,0.3,0,21.4,130.4,0,130.4,0,2019,Sevier River,4147.431202,1022708.13
171,Lynndyl Town Water System,C,663,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11155,Utah,Millard,Sevier River,5/2/2003,Fool Creek,268,258,201,34,24,0,10,34.5,33.3,25.8,4.3,3.1,0,1.2,403.5,403.5,0,0,2019,Sevier River,17613.15191,8694744.316
172,Moroni City,C,981,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1100,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,371,59,46,2,9,2,312,609.9,97.7,76.3,3.8,14.9,2.7,512.2,560.9,560.9,0,0,2019,Sevier River,7014.564076,2627857.395
173,Wellington City,C,191,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1132,Utah,Carbon,West Colorado River,8/1/2003,Price River,97,97,82,5,8,2,0,174.3,174.3,147.3,9.1,14.9,2.9,0,0,0,0,0,2019,Upper Colorado River,44749.45723,12921213.69
174,Leamington Town Water System,C,667,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1024,Utah,Millard,Sevier River,5/2/2003,Fool Creek,318,244,224,4,2,14,74,87.4,67.1,61.4,1.1,0.6,3.9,20.3,301.4,161.4,140,0,2019,Sevier River,8445.605549,3963734.175
175,Levan Town Water System,C,582,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1048,Utah,Juab,Sevier River,5/2/2001,Levan,348,174,121,5,48,0,174,370.4,184.7,128.6,5.2,50.9,0,185.7,968.5,242.1,726.4,0,2019,Provo River,6764.18614,2095748.528
176,Mt. Pleasant City,C,975,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1070,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,306,121,65,24,32,0,185,1250.2,494.6,264.3,99.9,129.7,0.7,755.6,1417.2,842.6,574.6,0,2019,Sevier River,28392.31314,12199261.78
177,East Carbon City,C,192,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1015,Utah,Carbon,West Colorado River,8/1/2003,Price River,105,105,53,1,25,26,0,205.5,205.5,103.8,1.7,49.3,50.7,0,2744,0,0,2744,2019,Upper Colorado River,40529.87087,25384034.66
178,Price Municipal Corp.,C,187,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1335,Utah,Carbon,West Colorado River,8/1/2003,Price River,206,196,118,22,56,1,9,2013.1,1921.5,1149.6,213.3,545.9,12.7,91.6,4527.9,0,2897.9,1630,2019,Upper Colorado River,38962.07697,17499608.07
179,Fountain Green,C,971,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1217,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,367,203,160,3,0,40,164,452.6,250.1,197.3,3.6,0.5,48.7,202.5,754.5,30,724.5,0,2019,Sevier River,30180.68384,8619447.818
180,Fairview City Water System,C,980,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1249,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,317,61,53,3,4,1,256,706.5,136.3,118.2,6.9,8.2,2.9,570.3,532.7,427.7,104.9,0,2019,Sevier River,25809.38139,5661874.274
181,Price River WID,C,199,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1247,Utah,Carbon,West Colorado River,8/1/2003,Price River,161,161,139,7,7,8,0,1263.7,1263.7,1088.9,56.9,57.7,60.2,0,6328.1,0,0,6328.1,2019,Upper Colorado River,224717.6824,477246818.3
182,Helper City,C,185,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1309,Utah,Carbon,West Colorado River,8/1/2003,Price River,165,98,72,17,8,1,66,424.9,253.7,184.6,44.5,21.8,2.8,171.1,1871,499,1372,0,2019,Upper Colorado River,14884.81483,4662309.192
183,Nephi City,C,584,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1192,Utah,Juab,Utah Lake,4/1/2002,Nephi,327,235,157,37,14,27,92,2200.4,1579.5,1054.2,247.8,96.7,180.8,620.9,5891.5,2824.7,3066.8,0,2019,Provo River,24609.72333,11833680.09
184,Elk Ridge Town,C,1321,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1159,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,175,175,166,1,8,0,0,833.9,833.9,791.4,4.6,37.9,0,0,915,915,0,0,2019,Provo River,21009.46288,7049652.323
185,Woodland Hills City,C,1318,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1405,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,162,162,156,0,6,0,0,279.8,279.8,269.8,0,10,0,0,371.1,371.1,0,0,2019,Provo River,13214.30606,6554918.679
186,Covered Bridge Canyon HOA,C,1315,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1029,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,166,166,166,0,0,0,0,46.5,46.5,46.5,0,0,0,0,62,62,0,0,2019,Provo River,7675.286437,2074912.905
187,Genola City,C,1303,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1076,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,127,127,105,11,2,9,0,209.4,209.4,172.4,18.8,3.2,15.1,0,435.8,435.8,0,0,2019,Provo River,41394.68948,36755359.98
188,Payson City Water System,C,1312,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1166,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,192,97,51,9,31,6,96,4633.3,2327.6,1220.1,216.2,749.5,141.8,2305.7,4854.6,3954.6,900,0,2019,Provo River,54825.08868,36376971.05
189,Bradford Acres Water Assoc.,C,1345,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11275,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,621,621,621,0,0,0,0,23,23,23,0,0,0,0,53.1,53.1,0,0,2019,Provo River,2451.4639,289015.0084
190,Salem City,C,1292,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1035,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,342,64,56,6,2,0,277,3278,618,534,59.9,20.2,3.9,2660.1,4425.7,3510.7,915,0,2019,Provo River,40909.84769,28417779.57
191,Mapleton City,C,1309,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1220,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,287,151,136,8,7,0,136,3389,1785.7,1609.8,95.7,79.3,0.9,1603.3,6237.5,4055.5,2182,0,2019,Provo River,32311.93243,30688895.6
192,Spanish Fork City,C,1294,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1257,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,197,64,46,9,4,5,133,9565.1,3120.6,2227.1,421.6,216.2,255.8,6444.4,10114.5,331.9,9782.6,0,2019,Provo River,99771.78664,44796881.26
193,Springville City,C,1296,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1343,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,250,208,117,46,18,27,42,9694.3,8051.7,4547.6,1791.3,682.5,1030.3,1642.6,11773.6,5710,6063.6,0,2019,Provo River,57866.2404,42328056.74
194,Myton City,C,297,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1102,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,313,189,128,35,24,3,123,227.8,138,93.1,25.3,17.6,2,89.9,0.6,0,0,0.6,2019,Green River,12204.82434,4108548.16
195,East Duchesne Culinary WID,C,333,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1362,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,778,729,197,164,32,335,49,959.1,898.1,243,202.7,39.4,413.1,61,346.4,0,0,346.4,2019,Green River,95449.89928,274081973
196,Utah State Hospital,C,1376,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11579,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,39,23,0,0,23,0,16,17,9.9,0,0,9.9,0,7.1,1253.7,363.2,890.5,0,2019,Provo River,2912.113875,447005.81
197,Fruitland Water SSD,C,340,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1441,Utah,Duchesne,Uintah,7/3/2003,Fruitland,350,350,341,6,3,0,0,76.4,76.4,74.6,1.2,0.6,0,0,225,0,150,75,2019,Green River,56459.84749,92412526.67
198,Ouray Park WID,C,1264,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1327,Utah,Uintah,Uintah,7/4/2001,Pelican Lake,467,201,199,1,1,0,266,172.6,74.2,73.6,0.4,0.2,0,98.4,0,0,0,0,2019,Green River,68235.17113,173655681.2
199,Fairfield Culinary Water System,C,1302,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11211,Utah,Utah,Utah Lake,4/1/2011,Cedar Valley,367,143,134,4,5,0,224,23.8,9.3,8.7,0.2,0.3,0,14.6,13.5,0,13.5,0,2019,Provo River,40590.63288,63946234.92
200,Mona Town Water System,C,583,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1147,Utah,Juab,Utah Lake,4/1/2002,Nephi,322,101,96,1,0,3,221,721.7,225.6,215.5,2.3,0.8,7,496.1,591,203.6,387.4,0,2019,Provo River,14837.87447,6639676.755
201,Rocky Ridge Town Water System,C,598,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1432,Utah,Juab,Utah Lake,4/1/2002,Nephi,72,72,67,2,3,0,0,74.5,74.5,69.5,1.7,3.3,0,0,124,124,0,0,2019,Provo River,12772.76929,4386111.774
202,Goshen Town Water System,C,1304,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1246,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,453,372,357,0,10,4,81,479.4,393.5,378.3,0.2,10.9,4.2,85.8,689.2,169.2,520,0,2019,Provo River,7584.077961,1964547.795
203,Eureka Town,C,585,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1036,Utah,Juab,Sevier River,5/2/2001,Levan,57,57,49,1,7,0,0,52.8,52.8,45.2,0.9,6.8,0,0,469.4,469.4,0,0,2019,Provo River,27824.04367,8501451.509
204,Elberta,C,1301,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1196,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,441,441,397,0,44,0,0,92,92,82.8,0,9.2,0,0,50.9,50.9,0,0,2019,Provo River,13067.6132,10617040.63
205,Goosenest Water Co.,C,1324,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1424,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,1023,1023,391,631,0,0,0,114.6,114.6,43.8,70.7,0,0,0,140.4,48.4,92,0,2019,Provo River,3520.069546,368166.8831
206,Johnson Water District,C,301,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1021,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,631,577,175,20,0,383,54,1474.4,1347.5,408.1,45.6,0,893.8,126.8,150.1,113,36.5,0.6,2019,Green River,159272.9746,262651197.2
207,White Hills Subdivision,C,1395,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1446,Utah,Utah,Utah Lake,4/1/2011,Cedar Valley,136,136,112,12,12,0,0,65.4,65.4,53.9,5.8,5.7,0,0,2171.9,2171.9,0,0,2019,Provo River,19398.82859,17285796.07
208,Provo City,C,1297,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1010,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,162,162,96,54,13,0,0,21188.8,21188.8,12490,7016.2,1652.4,30.2,0,49135,22510,10070,16555,2019,Provo River,92220.49067,113904549.7
209,Springdell Plat A & B,C,1323,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11350,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,3742,3742,559,0,3184,0,0,209.6,209.6,31.3,0,178.3,0,0,123.9,0,123.9,0,2019,Provo River,2864.265039,277912.385
210,Cedar Fort Water System,C,1300,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1096,Utah,Utah,Utah Lake,4/1/2011,Cedar Valley,187,187,166,2,17,2,0,82.9,82.9,73.6,0.9,7.7,0.7,0,379.5,17.3,362.2,0,2019,Provo River,37431.17487,54590301.28
211,Roosevelt City Water System,C,299,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1055,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,319,172,79,43,17,32,147,2968.9,1599.4,739.3,401.4,160,298.6,1369.5,5109.5,3877.9,0,1231.6,2019,Green River,53786.55018,51749906.24
212,Taylorsville-Bennion Improvement District,C,802,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1277,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,139,139,110,12,17,1,0,10936.8,10936.8,8622.4,911.1,1354.3,49,0,1689.6,1080,609.6,0,2019,Salt Lake,36960.33907,30404451.61
213,Jordanelle SSD,C,1511,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10857,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,279,219,199,20,0,0,60,1189.3,935.3,849.3,84,2,0,254,12565.9,1003.2,0,11562.7,2019,Provo River,110685.3916,105386406.4
214,Boundary Spring Water Co.,C,826,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1376,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,1432,1432,1432,0,0,0,0,288.8,288.8,288.8,0,0,0,0,1137.4,0,1137.4,0,2019,Salt Lake,2762.871047,440294.325
215,Marion Waterworks Co.,C,1077,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1270,Utah,Summit,Weber River,2/1/2002,Kamas Valley,224,224,205,0,2,17,0,138.1,138.1,126.1,0.3,1.1,10.7,0,127.8,80.7,47.1,0,2019,Weber River,13676.69053,10502904.55
